Maanyan;Indonesia
hang taun karueh pamarentahanni hi nebukadnezar nganupi;pada tahun kedua pemerintahannya nebukadnezar bermimpi
ateini pada balisah nelang hanye puang kaiuh manre;hatinya pun gelisah dan ia tidak dapat tidur
balalu raja nunyu nerau kawan ulun baalimu;lalu raja menyuruh memanggil para ahli ilmu gaib
ulun bapitua;tukang jampi
pannai sihir ina tau ngulah ulun mekum;ahli sihir ini bisa membuat orang sakit
anri kawan kasdim;dan para kasdim
umak nyampuri upini yiru ma hanye;untuk menerangkan mimpinya itu kepadanya
here pada hawi palus minri hang hadapan raja;mereka pun datang dan berdiri di hadapan raja
raja kaeau ma here;raja berkata kepada mereka
aku nganupi hingka malem;aku bermimpi tadi malam
balalu ateiku balisah;dan hatiku gelisah
daya hamen karasa upi yiru;karena ingin mengetahui mimpi itu
balalu eau kawan kasdim yiru ma raja wuang basa aram;lalu berkatalah para kasdim itu kepada raja dalam bahasa aram
u raja ada hanyu puang nyanrengei masyarakat;ya raja jangan kamu tidak mendengarkan masyarakat
hampe kalalawah welumnu tahampe ma kawan walahnu upi yiru;kekallah hidupmu  ceriterakanlah kepada hamba hambamu mimpi itu
balalu kami sagar iwara aratini;dan kami akan memberitahukan maknanya
tuing raja ma kawan kasdimyiru;jawab raja kepada para kasdim itu
aku haut ngulah kaputusan yina amun naun puang iwara ma aku upi yiru anri aratini;aku telah mengambil keputusan ini jika kamu tidak memberitahukan kepadaku mimpi itu dan maknanya
naun sagar napumpung nelang kawan lewu naun sagar nasanruntun jari tuyukan puting;kamu akan dipenggal penggal dan rumah rumahmu akan dirobohkan menjadi timbunan puing
kude aku na ekat ulun tumpuk;tetapi aku hanya orang kampung
amun naun kaiuh iwara upi yiru anri aratini;jika kamu dapat memberitahukan mimpi itu dan maknanya
naun sagar narime teka aku hadiah;kamu akan menerima dariku hadiah
kawan pangamian;pemberian pemberian
nelang hurumat sa hante daya yiru;dan kehormatan yang besar oleh sebab itu
wara ma aku upi yiru anri aratini;beritahukanlah kepadaku mimpi itu dan maknanya
here nuing ma karueh kalini;mereka menjawab untuk kedua kalinya
mara tuanku raja nyarita upi yiru ma kawan walahnu yina;silakan tuanku raja menceriterakan mimpi itu kepada hamba hambanya ini
balalu kami sagar iwara aratini;maka kami akan memberitahukan maknanya
tuing raja ngasese ulun;jawab raja mengejek orang
aku karasa tuu amun naun ngulah unte;aku tahu betul bahwa kamu mencoba mengulur ulur waktu
daya naun kadinung aku haut ngulah putusan yina;karena kamu melihat aku telah mengambil keputusan ini
amun naun puang tau iwara ma aku upi yiru;jika kamu tidak dapat memberitahukan kepadaku mimpi itu
naun sagar kaiuh hukuman sa sameh;kamu akan mendapat hukuman yang sama
aku karasa amun naun haut mapakat nampan ngantuh ma aku kawan hal pusu nelang bere;aku tahu  bahwa kamu telah bermufakat untuk mengatakan kepadaku hal hal bohong dan busuk
hampe wangun baubah;sampai keadaan berubah
daya yiru ada hanyu puang makai helm;oleh sebab itu jangan kamu tidak menggunakan helm
sarita ma aku upi yiru;ceriterakanlah kepadaku mimpi itu
nampan aku karasa amun naun tau iwara aratini pada ma aku;supaya aku tahu bahwa kamu dapat memberitahukan maknanya juga kepadaku
kawan kasdim yiru nuing raja;para kasdim itu menjawab raja
puang uweng sunah erang kaulun hang ammau gumi sa tau iwara inun sa nalaku tuanku raja;tidak ada seorang pun di muka bumi yang dapat memberitahukan apa yang diminta tuanku raja
puang suah erang kaulun raja;tidak pernah seorang raja
biar kala awe tamam nelang bakuasani hanye;betapapun agung dan berkuasanya dia
ilaku hal kala yiru teka erang kaulun sa baalimu atawa erang kaulun bapitua atawa erang kaulun kasdim;meminta hal demikian dari seorang ahli ilmu gaib atau seorang tukang jampi atau seorang kasdim
inun sa nalaku tuanku raja tuu mahadin;apa yang diminta tuanku raja terlalu berat
nelang puang uweng sunah erang kaulun sa tau iwarani ma tuanku raja;dan tak seorang pun yang dapat memberitahukannya kepada tuanku raja
ekat kawan dewa sa puang muneng hang penah murunsia;selain  dewa dewa yang tidak tinggal di antara manusia
raja jari sangit tatuu nelang marikang daya hal yiru;raja pun menjadi sangat geram dan murka karena hal itu
balalu matitah umak munu katuluh ulun marahati hang babel;lalu dititahkannyalah untuk melenyapkan semua orang bijaksana di babel
tawuk titah natahampe nampan kawan ulun marahati nawunu;ketika titah dikeluarkan supaya orang orang bijaksana dibunuh
hi daniel anri kawan hengauni pada naantara nampan nawunu;daniel dan teman temannya pun dicari untuk dibunuh
balalu anri akal baya karahatien hi daniel kaeau ma hi ariokh;lalu dengan cerdik dan bijaksana daniel berkata kepada ariokh
kapala pangawal raja sa haut tulak neu munu katuluh ulun marahati hang babel;kepala pengawal raja yang telah pergi untuk membunuh orang orang bijaksana di babel
eauni ma hi ariokh;katanya kepada ariokh
pajabat karajaan yiru;pejabat kerajaan itu
daya inun titah sa kala yiru tamam yina nakaluar daya raja;mengapa titah yang begitu keras ini dikeluarkan oleh raja
hi ariokh balalu nahampe ganani ma hi daniel;ariokh pun menjelaskan alasannya kepada daniel
hi daniel nadap raja nelang ilaku nampan hanye naami katika umak iwara arati upi yiru ma raja;daniel menghadap raja dan meminta supaya ia diberi waktu untuk memberitahukan makna mimpi itu kepada raja
balalu hi daniel mudi palus iwara hal yiru ma hi hananya misael;kemudian daniel pulang dan memberitahukan hal itu kepada hananya misael
anri hi azarya kawan hengauni;dan azarya teman temannya
nampan here ilaku ahi lelu teka alatalla hapus gumi neu rahasia yiru;supaya mereka memohon kemurahan hati dari allah semesta langit mengenai rahasia itu
nampan hi daniel anri kawan hengauni puang nawunu baya kawan ulun marahati lainni hang babel;agar daniel dan teman temannya tidak dilenyapkan bersama orang orang bijaksana lain di babel
rahasia yiru nawara ma hi daniel hang wuang isa paninungan kamalem;rahasia itu disingkapkan kepada daniel dalam suatu penglihatan malam
hi daniel balalu nawat alatalla hapus gumi;daniel pun memuji allah semesta langit
eau daniel;berkatalah daniel
tawat ngaran alatalla;terpujilah nama allah
teka kalalawahni hampe kalalawahni;dari selama lamanyasampai selama lamanya
daya teka hanye karahatien anri kakuaten;sebab dari dialah hikmat dan kekuatan
hanye ngubah masa baya katika;dia mengubah saat dan waktu
hanye nyantaduh baya midi raja;dia memecat dan mengangkat raja
hanye ngami karahatien ma ulun marahati;dia memberi hikmat kepada orang bijaksana
nelang kataruen ma ulun sa kataru;dan pengetahuan kepada orang berpengertian
hanye nguka kawan hal sa lalem tuu nelang puang ule napantaru;dialah yang menyingkapkan hal hal yang tak terdugadan tersembunyi
hanye karasa inun sa naan hang maieng;dia tahu apa yang ada dalam gelap
nelang piraai naan hang hanye;dan terang ada pada nya
u alatalla datu niniku;ya allah nenek moyangku
aku nawat nante hanyu;aku memuji dan memuliakan engkau
daya hanyu haut ngami ma aku karahatien anri kakuaten;sebab engkau telah mengaruniakan kepadaku hikmat dan kekuatan
nelang haut iwara ma aku taati inun sa nalaku kami ma hanyu;dan telah memberitahukan kepadaku sekarang apa yang kami mohon kepada mu
neu iwara ma kami kararaen raja;dengan memberitahukan kepada kami persoalan raja
hi daniel tulak nunung hi ariokh sa natugas raja umak munu katuluh ulun marahati hang babel;daniel pergi kepada ariokh yang ditugaskan raja untuk melenyapkan orang orang bijaksana di babel
hanye tulak nelang kaeau ma hi ariokh;ia pergi serta berkata kepadanya
ada hanyu munu katuluh ulun marahati hang babel;jangan kaulenyapkan orang orang bijaksana di babel
ennei aku nadap raja;bawalah aku menghadap raja
nelang aku sagar iwara ma raja arati upi yiru;dan aku akan memberitahukan kepada raja makna mimpi itu
hi ariokh balalu ngennei hi daniel nadap raja palus kaeau ma raja;ariokh segera membawa daniel menghadap raja serta berkata kepada raja
aku haut kahaba erang kaulun teka ulun buangan teka yehuda sa kaiuh iwara arati upi yiru ma raja;aku telah menemukan seorang dari antara orang buangan dari yehuda yang dapat memberitahukan makna mimpi itu kepada raja
raja nunti ma hi daniel sa pada bangaran beltsazar;vbertanyalah raja kepada daniel yang juga bernama beltsazar
inun hanyu tau iwara ma aku upi sa haut dinungku yiru anri aratini;sanggupkah engkau memberitahukan kepadaku mimpi yang telah kulihat itu dan maknanya
tuing daniel ma raja;jawab daniel kepada raja
eauni rahasia sa natunti tuanku raja puang tau nawara ma raja daya ulun marahati;katanya rahasia yang ditanyakan tuanku raja tidak dapat diberitahukan kepada raja oleh orang bijaksana
baalimu atawa pannai nujum;ahli ilmu gaib atau ahli nujum
kude hang surga naan alatalla sa nguka kawan rahasia;tetapi di surga ada allah yang menyingkapkan rahasia rahasia
hanye haut iwara ma tuanku raja nebukadnezar inun sa sagar jari hang hanrian anrau;ia telah memberitahukan kepada tuanku raja nebukadnezar apa yang akan terjadi pada hari hari yang akan  datang
yina upi anri kawan paninungan sa dinung tuanku hang paanrean;inilah mimpi dan penglihatan penglihatan yang tuanku lihat di tempat tidur
padingian tuanku raja hang paanrean;sementara tuanku di tempat tidur
hulet kawan kunuan tuanku neu inun sa sagar jari hang hanrian anrau;timbullah pikiran pikiran tuanku tentang apa yang akan terjadi di kemudian hari
hanye sa nguka kawan rahasia haut iwara ma tuanku inun sa sagar jari;dia yang menyingkapkan rahasia rahasia telah memberitahukan kepada tuanku apa yang akan terjadi
neu aku puang tau umba;adapun aku tidak bisa ikut
ma aku haut nauka rahasia yiru;kepadaku telah disingkapkan rahasia itu
puang daya karahatien sa naan hang aku diwi teka karahatien katuluh ulun sa welum;bukan karena hikmat yang ada padaku melebihi hikmat semua orang yang hidup
kude nampan aratini nawara ma tuanku raja nelang tuanku karasa kawan kunuan tuanku;tetapi supaya maknanya diberitahukan kepada tuanku raja dan tuanku mengenal pikiran pikiran tuanku
u raja tuanku kadinung isa ampatung hante tuu;ya raja tuanku melihat sebuah patung yang amat besar
ampatung yiru ammau;patung itu tinggi
ngurumilau tamam;berkilauan luar biasa
minri hang hadapan tuanku raja;tegak di hadapan tuanku
nelang maka gagaer;dan tampak mengerikan
